texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:550:55:550:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:550:66:550:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:551:1:551:90: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:551:29:551:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:551:54:551:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:551:65:551:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:557:39:557:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:557:45:557:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:558:34:558:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:558:37:558:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:558:40:558:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:558:43:558:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:559:52:559:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:559:60:559:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:559:61:559:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:567:1:567:100: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:567:30:567:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:567:55:567:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:568:4:568:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:571:31:571:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:572:33:572:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:580:5:580:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:580:31:580:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:581:5:581:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:581:33:581:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:582:5:582:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:582:34:582:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:583:5:583:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:583:36:583:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:584:25:584:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:586:27:586:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:586:37:586:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:586:48:586:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:587:27:587:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:587:36:587:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:587:46:587:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:588:27:588:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:588:36:588:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:588:45:588:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:589:27:589:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:589:37:589:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:592:1:592:155: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:592:18:592:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:592:59:592:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:592:95:592:125: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:594:1:594:155: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:594:18:594:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:594:59:594:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:594:95:594:125: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:597:1:597:101: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:597:18:597:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:597:60:597:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:597:101:597:101: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:599:35:599:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-abnt.sty:609:26:609:26: s204 missing stylistic whitespaces
