texmf-dist/tex/fontinst/base/xfntinst.sty:255:27:255:38: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:255:27:255:38: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:255:39:255:39: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:255:43:255:43: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:258:5:258:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:258:5:258:13: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:258:14:258:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:259:5:259:12: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:259:5:259:12: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:259:13:259:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:260:16:260:16: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:260:19:260:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:261:27:261:34: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:262:8:262:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:262:8:262:18: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:262:19:262:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:275:8:275:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:275:8:275:20: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:275:21:275:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:275:41:275:51: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:275:52:275:52: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:276:13:276:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:277:8:277:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:277:8:277:18: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:277:19:277:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:278:43:278:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:279:22:279:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:281:22:281:29: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:284:8:284:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:284:8:284:20: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:284:21:284:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:285:43:285:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:287:15:287:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:288:5:288:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:288:5:288:14: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:288:15:288:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:289:5:289:10: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:289:5:289:10: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:289:11:289:11: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:289:13:289:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:289:21:289:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:291:19:291:26: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:294:46:294:53: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:296:46:296:54: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:300:5:300:13: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:300:5:300:13: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:300:14:300:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:301:5:301:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:301:5:301:19: s412 malformed function name
texmf-dist/tex/fontinst/base/xfntinst.sty:301:20:301:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:302:25:302:32: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/xfntinst.sty:303:11:303:18: s204 missing stylistic whitespaces
