texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:264:58:264:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:265:36:265:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:265:42:265:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:265:60:265:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:265:72:265:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:266:41:266:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:267:37:267:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:269:37:269:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:269:41:269:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:271:37:271:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:271:40:271:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:290:21:290:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:290:29:290:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:293:21:293:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:293:29:293:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:304:9:304:9: w302 unbraced n-type function call argument
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:334:58:334:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:334:59:334:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:334:66:334:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:336:40:336:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:336:41:336:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:336:58:336:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:338:40:338:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:338:41:338:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:338:55:338:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:422:17:422:33: s413 malformed variable or constant name
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:429:17:429:32: s413 malformed variable or constant name
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:455:17:455:37: s412 malformed function name
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:459:32:459:32: w303 braced N-type function call argument
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:538:20:538:47: s413 malformed variable or constant name
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:539:20:539:48: s413 malformed variable or constant name
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:540:20:540:41: s413 malformed variable or constant name
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:544:16:544:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:544:22:544:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:563:18:563:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:563:25:563:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:563:26:563:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:563:29:563:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:563:30:563:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:563:31:563:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:565:16:565:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:565:23:565:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:574:14:574:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:574:20:574:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:620:26:620:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:620:31:620:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:623:21:623:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:623:29:623:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:623:30:623:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:623:31:623:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:623:32:623:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:636:19:636:46: s413 malformed variable or constant name
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:637:19:637:47: s413 malformed variable or constant name
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:638:19:638:40: s413 malformed variable or constant name
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:643:23:643:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:643:29:643:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:643:30:643:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:643:31:643:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:643:34:643:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:644:25:644:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:644:31:644:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:644:32:644:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:644:33:644:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:644:36:644:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:644:37:644:37: s204 missing stylistic whitespaces
