texmf-dist/tex/latex/spreadtab/spreadtab.sty:97:4:97:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:98:15:98:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:98:19:98:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:98:31:98:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:99:10:99:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:99:11:99:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:99:34:99:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:99:38:99:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:99:42:99:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:100:4:100:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:106:5:106:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:106:31:106:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:106:32:106:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:111:5:111:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:111:32:111:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:111:33:111:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:112:1:112:100: s103 line too long
texmf-dist/tex/latex/spreadtab/spreadtab.sty:115:5:115:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:115:30:115:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:115:31:115:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:119:5:119:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:119:39:119:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:119:40:119:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:123:5:123:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:123:34:123:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:123:35:123:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:128:5:128:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:128:33:128:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:128:34:128:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:131:6:131:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:131:24:131:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:131:25:131:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:132:1:132:85: s103 line too long
texmf-dist/tex/latex/spreadtab/spreadtab.sty:132:31:132:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:132:58:132:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:138:5:138:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:138:15:138:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:138:39:138:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:138:40:138:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:139:10:139:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:139:24:139:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:139:25:139:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:139:41:139:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:139:42:139:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:140:5:140:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:140:13:140:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:140:18:140:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:140:32:140:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:140:36:140:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:140:37:140:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:140:41:140:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:140:42:140:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:141:5:141:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:141:13:141:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:141:18:141:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:141:32:141:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:141:36:141:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:141:37:141:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:141:41:141:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:141:42:141:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:142:5:142:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:142:13:142:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:142:18:142:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:142:32:142:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:142:36:142:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:142:37:142:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:142:41:142:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:142:42:142:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:147:10:147:16: s204 missing stylistic whitespaces
