texmf-dist/tex/latex/koma-script/scrlayer.sty:190:42:190:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:190:43:190:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:190:47:190:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:193:33:193:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:193:41:193:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:194:15:194:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:194:27:194:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:194:28:194:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:194:59:194:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:196:26:196:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:196:38:196:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:196:39:196:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:196:40:196:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:196:48:196:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:196:49:196:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:196:50:196:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:196:54:196:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:196:55:196:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:198:28:198:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:198:40:198:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:198:41:198:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:198:42:198:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:198:50:198:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:198:51:198:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:198:52:198:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:198:57:198:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:198:58:198:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:200:30:200:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:200:42:200:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:200:43:200:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:200:44:200:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:200:52:200:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:200:53:200:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:200:54:200:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:200:59:200:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:200:60:200:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:202:32:202:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:202:44:202:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:202:45:202:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:202:46:202:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:202:54:202:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:202:55:202:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:202:56:202:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:202:61:202:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:202:62:202:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:204:34:204:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:204:46:204:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:204:47:204:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:204:48:204:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlayer.sty:204:56:204:56: s204 missing stylistic whitespaces
