texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:410:54:410:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:411:1:411:88: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:411:54:411:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:412:1:412:81: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:412:53:412:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:414:26:414:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:415:42:415:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:416:1:416:81: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:416:42:416:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:430:1:430:150: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:430:53:430:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:430:56:430:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:430:67:430:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:430:119:430:119: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:437:1:437:97: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:437:53:437:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:437:56:437:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:437:67:437:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:448:1:448:115: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:448:79:448:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:449:1:449:90: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:457:1:457:151: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:457:51:457:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:457:54:457:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:457:63:457:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:457:90:457:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:457:100:457:110: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:460:1:460:144: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:460:51:460:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:460:54:460:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:460:63:460:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:460:90:460:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:460:93:460:103: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:468:1:468:84: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:468:54:468:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:471:1:471:111: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:476:42:476:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:477:50:477:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:478:41:478:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:479:41:479:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:485:1:485:195: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:485:58:485:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:485:61:485:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:485:70:485:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:485:111:485:120: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:485:161:485:161: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:488:1:488:81: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:488:39:488:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:488:42:488:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:488:51:488:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:490:42:490:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:491:1:491:85: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:491:85:491:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:494:42:494:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:498:1:498:109: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:498:42:498:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:498:45:498:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:498:54:498:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:507:1:507:82: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:507:42:507:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:511:1:511:98: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:511:42:511:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:511:45:511:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:511:54:511:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:520:1:520:82: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:520:42:520:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:524:1:524:102: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:524:41:524:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:524:44:524:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:524:53:524:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:545:12:545:40: w415 unused variable or constant
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:550:33:550:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:552:48:552:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:554:26:554:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:554:30:554:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:554:35:554:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:554:37:554:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:554:45:554:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:554:46:554:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:555:45:555:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:556:45:556:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:561:1:561:175: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:561:52:561:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:561:55:561:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:561:64:561:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:561:116:561:116: s204 missing stylistic whitespaces
