texmf-dist/tex/generic/xint/xintkernel.sty:267:28:267:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:267:30:267:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:268:5:268:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:268:24:268:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:268:25:268:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:268:31:268:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:268:32:268:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:269:10:269:29: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:269:34:269:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:269:36:269:36: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:270:10:270:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:270:30:270:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:270:32:270:32: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:271:10:271:22: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:271:40:271:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:272:10:272:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:272:22:272:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:272:34:272:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:273:10:273:18: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:273:22:273:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:273:34:273:34: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:274:10:274:28: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:274:32:274:40: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:274:45:274:45: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:275:10:275:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:275:27:275:38: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:275:50:275:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:276:5:276:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:277:48:277:48: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:279:10:279:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:279:36:279:50: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:279:53:279:53: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:280:10:280:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:280:43:280:57: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:280:58:280:58: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:280:75:280:75: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:280:76:280:76: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:281:62:281:62: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:284:57:284:57: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:286:69:286:69: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:286:70:286:70: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:290:57:290:57: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:292:2:292:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:293:23:293:23: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:295:18:295:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:295:27:295:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:295:36:295:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:296:18:296:26: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:296:27:296:35: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:296:36:296:44: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:298:2:298:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintkernel.sty:299:10:299:24: s204 missing stylistic whitespaces
