texmf-dist/tex/fontinst/base/fontinst.sty:262:8:262:18: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:262:19:262:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:275:8:275:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:275:8:275:20: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:275:21:275:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:275:41:275:51: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:275:52:275:52: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:276:13:276:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:277:8:277:18: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:277:8:277:18: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:277:19:277:19: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:278:43:278:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:279:22:279:30: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:281:22:281:29: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:284:8:284:20: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:284:8:284:20: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:284:21:284:21: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:285:43:285:50: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:287:15:287:22: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:288:5:288:14: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:288:5:288:14: s412 malformed function name
texmf-dist/tex/fontinst/base/fontinst.sty:288:15:288:15: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:289:5:289:10: s204 missing stylistic whitespaces
texmf-dist/tex/fontinst/base/fontinst.sty:289:5:289:10: s412 malformed function name
