texmf-dist/tex/latex/polyglossia/polyglossia.sty:770:23:770:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:770:24:770:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:770:36:770:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:777:1:777:81: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:779:18:779:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:779:30:779:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:794:19:794:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:794:31:794:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:796:21:796:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:796:64:796:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:796:65:796:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:797:13:797:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:797:14:797:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:797:27:797:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:797:28:797:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:797:49:797:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:798:48:798:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:798:49:798:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:803:30:803:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:803:32:803:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:810:19:810:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:810:62:810:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:810:63:810:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:813:1:813:86: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:813:30:813:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:813:43:813:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:813:44:813:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:813:65:813:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:813:66:813:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:813:77:813:77: s204 missing stylistic whitespaces
