texmf-dist/tex/generic/xint/xintcore.sty:177:51:177:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:178:5:178:21: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:178:25:178:30: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:178:31:178:31: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:178:41:178:41: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:179:43:179:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:181:2:181:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:182:17:182:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:182:46:182:51: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:183:2:183:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:184:5:184:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:184:19:184:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:185:2:185:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:187:10:187:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:187:13:187:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:187:14:187:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:188:11:188:11: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:188:13:188:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:188:14:188:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:189:10:189:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:189:13:189:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:189:14:189:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:191:2:191:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:192:5:192:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:192:19:192:24: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:193:2:193:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:195:10:195:10: s204 missing stylistic whitespaces
