texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:393:10:393:33: s413 malformed variable or constant name
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:394:10:394:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:394:10:394:37: s413 malformed variable or constant name
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:402:33:402:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:402:36:402:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:402:39:402:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:404:54:404:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:404:57:404:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:408:14:408:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:410:1:410:84: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:413:1:413:83: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:423:1:423:91: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:424:1:424:92: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:426:1:426:91: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:427:1:427:91: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:429:49:429:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:432:14:432:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:433:14:433:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:451:1:451:84: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:453:1:453:92: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:454:1:454:93: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:456:1:456:90: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:457:1:457:91: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:459:1:459:126: s103 line too long
