texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:240:23:240:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:241:2:241:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:241:3:241:3: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:242:17:242:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:242:23:242:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:246:27:246:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:246:28:246:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:246:41:246:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:251:19:251:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:251:27:251:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:252:16:252:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:252:31:252:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:253:16:253:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:253:21:253:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:254:16:254:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:254:29:254:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:258:17:258:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:258:20:258:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:259:24:259:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:261:15:261:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:261:25:261:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:261:26:261:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:261:27:261:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:262:18:262:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:268:27:268:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:268:49:268:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:269:12:269:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:269:25:269:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:269:26:269:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:270:35:270:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:270:36:270:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:270:43:270:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:272:30:272:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:272:31:272:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:272:43:272:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:272:52:272:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:272:68:272:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:272:69:272:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:274:31:274:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:274:33:274:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:274:34:274:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:274:35:274:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:275:13:275:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:276:21:276:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:278:34:278:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:279:13:279:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:280:24:280:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:280:25:280:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:285:12:285:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:288:14:288:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-expose.cls:288:24:288:24: s204 missing stylistic whitespaces
