texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:244:38:244:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:245:28:245:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:245:29:245:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:245:33:245:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:245:34:245:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:245:35:245:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:245:41:245:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:246:27:246:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:246:28:246:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:246:37:246:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:246:38:246:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:246:39:246:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:246:48:246:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:247:28:247:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:247:29:247:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:247:38:247:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:247:39:247:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:247:40:247:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:247:54:247:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:257:34:257:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:257:35:257:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:257:42:257:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:261:23:261:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:261:24:261:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:261:32:261:32: s204 missing stylistic whitespaces
