texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:106:40:106:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:106:41:106:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:106:59:106:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:106:60:106:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:106:64:106:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:109:17:109:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:109:43:109:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:111:6:111:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:117:20:117:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:117:31:117:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/fontawesome5/fontawesome5-utex-helper.sty:117:60:117:60: s204 missing stylistic whitespaces
